embedding_model,similarity_field,num_correct,num_incorrect,correct_mean,correct_std,incorrect_mean,incorrect_std,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_roc_auc,fixed_pr_auc,best_threshold,best_accuracy,best_precision,best_recall,best_f1,best_roc_auc,best_pr_auc
sentence-transformers/all-MiniLM-L6-v2,similarity_sentence_transformers_all_MiniLM_L6_v2,92,408,0.9527535263610922,0.1038948345980595,0.3767054032707843,0.20958998292461764,0.576048123090308,0.75,0.948,0.8113207547169812,0.9347826086956522,0.8686868686868687,0.9865196078431373,0.9595548913969817,0.91,0.964,1.0,0.8043478260869565,0.891566265060241,0.9865196078431373,0.9595548913969817
BAAI/bge-base-en-v1.5,similarity_BAAI_bge_base_en_v1.5,92,408,0.9594771661188292,0.0876530911148336,0.5294719282902923,0.12100140937350892,0.43000523782853683,0.75,0.942,0.7889908256880734,0.9347826086956522,0.8557213930348259,0.9904358482523443,0.972631844573923,0.82,0.976,0.9444444444444444,0.9239130434782609,0.9340659340659341,0.9904358482523443,0.972631844573923
