embedding_model,similarity_field,num_correct,num_incorrect,correct_mean,correct_std,incorrect_mean,incorrect_std,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_roc_auc,fixed_pr_auc,best_threshold,best_accuracy,best_precision,best_recall,best_f1,best_roc_auc,best_pr_auc
sentence-transformers/all-MiniLM-L6-v2,similarity_sentence_transformers_all_MiniLM_L6_v2,13,7,0.9432233709555405,0.11764618904406784,0.5596635293747697,0.2377991366579672,0.38355984158077083,0.75,0.85,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9560439560439561,0.9819004524886878,0.81,0.95,1.0,0.9230769230769231,0.96,0.9560439560439561,0.9819004524886878
BAAI/bge-base-en-v1.5,similarity_BAAI_bge_base_en_v1.5,13,7,0.9554372659096351,0.07353502795741011,0.7296501270362309,0.16218094855737614,0.22578713887340418,0.75,0.8,0.7647058823529411,1.0,0.8666666666666667,0.9230769230769231,0.9625800293221107,0.86,0.9,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9625800293221107
