method,family,score_field,num_correct,num_incorrect,correct_mean,incorrect_mean,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,roc_auc,pr_auc,best_threshold,best_accuracy,best_precision,best_recall,best_f1
Exact match,lexical_baseline,exact_match,186,4814,0.0,0.0,0.0,0.5,0.9628,0.0,0.0,0.0,0.5,0.0372,0.0,0.0372,0.0372,1.0,0.0717315850366371
Ground-truth containment,lexical_baseline,contains_ground_truth,186,4814,0.0,0.0,0.0,0.5,0.9628,0.0,0.0,0.0,0.5,0.0372,0.0,0.0372,0.0372,1.0,0.0717315850366371
Token F1,lexical_baseline,token_f1,186,4814,0.07011095910116139,0.13446685913319437,-0.06435590003203298,0.8,0.9628,0.0,0.0,0.0,0.2514440409022073,0.02342819582057359,0.01,0.087,0.03837233818258486,0.978494623655914,0.07384865084195577
Entity/token overlap,structured_baseline,entity_overlap,186,4814,0.11074947520673735,0.1387477115991702,-0.02799823639243286,0.75,0.9624,0.25,0.005376344086021506,0.010526315789473684,0.42914036568967756,0.03770390491616173,0.0,0.0372,0.0372,1.0,0.0717315850366371
Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,similarity_sentence_transformers_all_MiniLM_L6_v2,186,4814,0.4210273043442798,0.5783770367340707,-0.1573497323897909,0.75,0.7854,0.005574136008918618,0.026881720430107527,0.009233610341643583,0.2762596548597058,0.023413284306035467,0.04,0.0472,0.03738884397736459,0.9946236559139785,0.07206856252434748
Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,hybrid_sentence_transformers_all_MiniLM_L6_v2,186,4814,0.3279439556030171,0.44648823919360053,-0.11854428359058344,0.75,0.9564,0.05555555555555555,0.010752688172043012,0.018018018018018018,0.28067330501092247,0.026497538270929245,0.05,0.0528,0.03741358275721838,0.989247311827957,0.07210031347962383
Embedding cosine: BAAI/bge-base-en-v1.5,embedding,similarity_BAAI_bge_base_en_v1.5,186,4814,0.6527375207152418,0.6946944226280604,-0.041956901912818534,0.75,0.6348,0.023255813953488372,0.21505376344086022,0.04197271773347324,0.38139655395776656,0.02750907014272741,0.38,0.0418,0.037371910789632305,1.0,0.07205113306217316
Hybrid 0.7*embedding+0.3*overlap: BAAI/bge-base-en-v1.5,hybrid_ablation,hybrid_BAAI_bge_base_en_v1.5,186,4814,0.49014110706269043,0.5279104093193933,-0.03776930225670283,0.75,0.9538,0.02127659574468085,0.005376344086021506,0.008583690987124463,0.37407360253025457,0.029832288148983407,0.33,0.0742,0.03786145204909507,0.978494623655914,0.07290206288804325
