dataset,model,num_correct,num_incorrect,correct_mean,incorrect_mean,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,best_threshold,best_f1,roc_auc,pr_auc
results_nq,MiniLM,2931,2069,0.941,0.478,0.462,0.75,0.873,0.886,0.899,0.893,0.70,0.895,0.959,0.974
results_nq,BGE,2931,2069,0.959,0.699,0.260,0.75,0.841,0.799,0.973,0.877,0.80,0.888,0.955,0.971
results_sciq_5000,MiniLM,2939,2061,0.940,0.477,0.462,0.75,0.872,0.889,0.894,0.891,0.70,0.895,0.958,0.973
results_sciq_5000,BGE,2939,2061,0.958,0.699,0.260,0.75,0.842,0.801,0.973,0.879,0.80,0.889,0.954,0.971
results_truthfulQA_500,MiniLM,296,204,0.945,0.491,0.453,0.75,0.858,0.864,0.902,0.883,0.76,0.893,0.958,0.974
results_truthfulQA_500,BGE,296,204,0.963,0.706,0.257,0.75,0.844,0.799,0.983,0.882,0.78,0.894,0.957,0.972
results_wiki,MiniLM,2929,2071,0.942,0.479,0.463,0.75,0.875,0.889,0.899,0.894,0.74,0.896,0.959,0.974
results_wiki,BGE,2929,2071,0.960,0.699,0.261,0.75,0.840,0.798,0.972,0.877,0.81,0.890,0.955,0.971
