method,family,score_field,num_correct,num_incorrect,correct_mean,incorrect_mean,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,roc_auc,pr_auc,best_threshold,best_accuracy,best_precision,best_recall,best_f1
Exact match,lexical_baseline,exact_match,303,197,0.7953795379537953,0.0,0.7953795379537953,0.5,0.876,1.0,0.7953795379537953,0.8860294117647058,0.8976897689768977,0.9193795379537953,0.01,0.876,1.0,0.7953795379537953,0.8860294117647058
Ground-truth containment,lexical_baseline,contains_ground_truth,303,197,0.9801980198019802,0.0,0.9801980198019802,0.5,0.988,1.0,0.9801980198019802,0.99,0.9900990099009901,0.9921980198019802,0.01,0.988,1.0,0.9801980198019802,0.99
Token F1,lexical_baseline,token_f1,303,197,0.9211221122112212,0.14615040909457153,0.7749717031166496,0.8,0.9,1.0,0.834983498349835,0.9100719424460432,0.9796200432225963,0.9837799810962445,0.58,0.93,0.9466666666666667,0.9372937293729373,0.9419568822553898
Entity/token overlap,structured_baseline,entity_overlap,303,197,0.19614961496149613,0.034686971235194576,0.16146264372630156,0.75,0.5,1.0,0.17491749174917492,0.29775280898876405,0.580824579919921,0.6856576078660498,0.0,0.606,0.606,1.0,0.7546699875466999
Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,similarity_sentence_transformers_all_MiniLM_L6_v2,303,197,0.9461277853144278,0.49158111575347974,0.454546669560948,0.75,0.866,0.8782051282051282,0.9042904290429042,0.8910569105691057,0.9621718517029368,0.9773141818954706,0.76,0.88,0.898360655737705,0.9042904290429042,0.9013157894736842
Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,hybrid_sentence_transformers_all_MiniLM_L6_v2,303,197,0.7211343342085482,0.3545128723979941,0.3666214618105541,0.75,0.5,0.9491525423728814,0.1848184818481848,0.30939226519337015,0.9492888375131929,0.9616729369344834,0.58,0.89,0.918918918918919,0.8976897689768977,0.9081803005008348
Embedding cosine: BAAI/bge-base-en-v1.5,embedding,similarity_BAAI_bge_base_en_v1.5,303,197,0.964257528482884,0.696157309004498,0.268100219478386,0.75,0.872,0.8273972602739726,0.9966996699669967,0.9041916167664671,0.9635623460823238,0.9774583189206961,0.78,0.886,0.8514285714285714,0.9834983498349835,0.9127105666156202
Hybrid 0.7*embedding+0.3*overlap: BAAI/bge-base-en-v1.5,hybrid_ablation,hybrid_BAAI_bge_base_en_v1.5,303,197,0.7338251544264676,0.49771620767370695,0.23610894675276062,0.75,0.5,0.9076923076923077,0.19471947194719472,0.32065217391304346,0.9400747181317116,0.9508687885318367,0.54,0.88,0.8365650969529086,0.9966996699669967,0.9096385542168675
